Country,Date,"Gross domestic product per capita, constant prices","Gross domestic product, current prices","Inflation, average consumer prices",Unemployment rate,Export,Export Market Growth,Import,Net Trade
Germany,2019-11-01,0.3966666666666667,4435.181666666666,1.3964166666666666,3.178166666666667,1746163510406.0725,1764693106281.3518,1538011794512.0918,219800446057.92902
Germany,2019-12-01,0.322,4443.57,1.346,3.158,1747274126659.18,1766877934977.33,1540916226032.11,217408657537.295
Germany,2020-01-01,0.525875,4444.2775,1.3392083333333333,3.17025,1748118056309.3867,1770021300909.655,1543312631161.313,215921681518.56482
Germany,2020-02-01,0.72975,4444.985,1.3324166666666668,3.1825,1748961985959.5933,1773164666841.98,1545709036290.5159,214434705499.8346
Germany,2020-03-01,0.9336249999999999,4445.6925,1.325625,3.19475,1749805915609.7998,1776308032774.3052,1548105441419.7188,212947729481.10437
Germany,2020-04-01,1.1375,4446.4,1.3188333333333335,3.207,1750649845260.0066,1779451398706.6301,1550501846548.9219,211460753462.37418
Germany,2020-05-01,1.341375,4447.1075,1.3120416666666668,3.2192499999999997,1751493774910.2134,1782594764638.955,1552898251678.1248,209973777443.64398
Germany,2020-06-01,1.54525,4447.815,1.30525,3.2315,1752337704560.42,1785738130571.28,1555294656807.3276,208486801424.91376
Germany,2020-07-01,1.749125,4448.5225,1.2984583333333335,3.24375,1753181634210.6265,1788881496503.605,1557691061936.5305,206999825406.18353
Germany,2020-08-01,1.953,4449.23,1.2916666666666667,3.256,1754025563860.8333,1792024862435.93,1560087467065.7334,205512849387.45334
Germany,2020-09-01,2.156875,4449.9375,1.284875,3.26825,1754869493511.04,1795168228368.255,1562483872194.9363,204025873368.72314
Germany,2020-10-01,2.36075,4450.6449999999995,1.2780833333333335,3.2805,1755713423161.2466,1798311594300.58,1564880277324.1392,202538897349.99292
Germany,2020-11-01,2.564625,4451.3525,1.2712916666666667,3.29275,1756557352811.4531,1801454960232.905,1567276682453.342,201051921331.2627
Germany,2020-12-01,2.7685,4452.0599999999995,1.2645,3.3049999999999997,1757401282461.66,1804598326165.23,1569673087582.545,199564945312.5325
Germany,2021-01-01,2.972375,4452.7675,1.2577083333333334,3.31725,1758245212111.8667,1807741692097.555,1572069492711.748,198077969293.8023
Germany,2021-02-01,3.17625,4453.475,1.2509166666666667,3.3295,1759089141762.0732,1810885058029.88,1574465897840.951,196590993275.07208
Germany,2021-03-01,3.380125,4454.1825,1.2441250000000001,3.3417499999999998,1759933071412.2798,1814028423962.205,1576862302970.1538,195104017256.34186
Germany,2021-04-01,3.584,4454.89,1.2373333333333334,3.354,1760777001062.4866,1817171789894.53,1579258708099.3567,193617041237.61166
Germany,2021-05-01,3.787875,4455.5975,1.2305416666666666,3.36625,1761620930712.6934,1820315155826.855,1581655113228.5596,192130065218.88147
Germany,2021-06-01,3.99175,4456.305,1.2237500000000001,3.3785,1762464860362.9,1823458521759.18,1584051518357.7625,190643089200.15125
Germany,2021-07-01,4.195625,4457.0125,1.2169583333333334,3.39075,1763308790013.1064,1826601887691.505,1586447923486.9653,189156113181.42102
Germany,2021-08-01,4.3995,4457.72,1.2101666666666668,3.403,1764152719663.3132,1829745253623.8298,1588844328616.1685,187669137162.69083
Germany,2021-09-01,4.603375,4458.4275,1.203375,3.41525,1764996649313.52,1832888619556.1548,1591240733745.3713,186182161143.96063
Germany,2021-10-01,4.80725,4459.135,1.1965833333333333,3.4275,1765840578963.7266,1836031985488.48,1593637138874.5742,184695185125.2304
Germany,2021-11-01,5.011125,4459.8425,1.1897916666666668,3.43975,1766684508613.933,1839175351420.805,1596033544003.777,183208209106.50018
Germany,2021-12-01,5.215,4460.55,1.183,3.452,1767528438264.14,1842318717353.13,1598429949132.98,181721233087.77
